Year,Month,Day,Hour,v_10m_ms,v_100m_ms,Power_MW,CF_wind
2020,2,4,17,7.215955865839397,10.673257767941447,0.6989305012628659,0.6989305012628659
2020,2,4,18,6.872338919847044,10.164876496345764,0.6015772831984328,0.6015772831984328
2020,2,4,19,6.356913500858516,9.402562301661728,0.47281798946813985,0.47281798946813985
2020,2,4,20,5.669679608873811,8.386143375416351,0.3308498915931263,0.3308498915931263
2020,2,4,21,4.810637243892931,7.115447909136632,0.19591550498082833,0.19591550498082833
2020,2,4,22,3.95159487891205,5.844752442856914,0.10150696916774445,0.10150696916774445
2020,2,4,23,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,2,5,0,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,2,5,1,1.8898932029579372,2.7953238556477853,0.0,0.0
2020,2,5,2,1.718084729961761,2.541219124086441,0.0,0.0
2020,2,5,3,1.718084729961761,2.541219124086441,0.0,0.0
2020,2,5,4,1.718084729961761,2.541219124086441,0.0,0.0
2020,2,5,5,1.8898932029579372,2.7953238556477853,0.0,0.0
2020,2,5,6,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,2,5,7,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,2,5,8,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,2,5,9,1.8898932029579372,2.7953238556477853,0.0,0.0
2020,2,5,10,1.718084729961761,2.541219124086441,0.0,0.0
2020,2,5,11,2.061701675954113,3.0494285872091296,0.0007975786507597259,0.0007975786507597259
2020,2,5,12,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,2,5,13,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,2,5,14,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,2,5,15,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,2,5,16,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
